SM,ST,Temp,Humidity,SR,Rain,PSM
28.79,72.01,73.38,86.92,635.83,0,28.787121
28.79,71.93,77.74,81.98,727.5,0,28.787121
28.77,71.89,80.82,78.9,814.04,0,28.767123
28.72,71.83,82.65,75.5,800.08,0,28.717128
28.62,71.8,84.53,72.29,898.77,0,28.617138
28.54,71.74,85.98,69.38,752.5,0,28.537146
28.5,71.72,86.28,67.13,696.42,0,28.49715
28.48,71.74,86.43,66.63,626.67,0,28.477152
28.43,71.81,85.29,65.53,380.87,0,28.427157
28.4,71.89,83.84,69.46,287.38,0,28.39716
28.37,71.97,81.39,72.76,97.83,0,28.367163
28.33,72.01,78.48,77.47,11.17,0,28.327167
28.32,72.05,75.52,84.84,0,0,28.317168
28.31,72.1,73.91,87.86,0,0,28.307169
28.3,72.13,73.06,89.2,0,0,28.29717
28.3,72.14,73.46,88.31,0,0,28.29717
28.3,72.12,72.91,88.99,0,0,28.29717
28.31,72.09,71.8,90.16,0,0,28.307169
28.32,72.04,71,92,0,0,28.317168
28.31,71.98,70.85,93.34,0,0,28.307169
28.3,71.9,70.8,93.92,0,0,28.29717
28.31,71.82,70.69,94.39,0,0,28.307169
28.31,71.73,70.98,94.56,0,0,28.307169
28.31,71.64,70.98,94.58,0.92,0,28.307169
28.32,71.55,71.11,94.65,15.8,0,28.317168
28.29,71.49,71.22,94.2,91.08,0,28.287171
28.27,71.41,71.88,92.62,136.63,0,28.267173
28.21,71.37,72.61,90.74,140.5,0,28.207179
28.14,71.29,73.19,90.02,151.63,0,28.137186
28.05,71.26,74.69,88.55,227.88,0,28.047195
27.95,71.28,76.09,86.55,410.33,0,27.947205
27.9,71.33,78.7,83.45,467.96,0,27.89721
27.87,71.43,81.07,79.74,462.8,0,27.867213
27.84,71.52,82.46,76.69,580.88,0,27.837216
27.8,71.58,82.04,76.81,283.75,0,27.79722
27.79,71.62,83,74.5,439.83,0,27.787221
27.77,71.66,83.8,73.5,506.77,0,27.767223
27.77,71.68,82.03,76.65,216.67,0,27.767223
27.76,71.69,81.65,79.34,259.79,0,27.757224
27.75,71.69,80.93,81.61,178,0,27.747225
27.74,71.67,79.25,85.05,41.03,0,27.737226
27.74,71.64,77.17,89.35,0.92,0,27.737226
27.74,71.57,75.58,91.82,0,0,27.737226
27.73,71.51,74.99,92.9,0,0,27.727227
27.75,71.44,75.8,91.16,0,0,27.747225
27.74,71.37,76.57,87.61,0,0,27.737226
27.74,71.3,75.91,88.8,0,0,27.737226
27.75,71.23,75.21,89.6,0,0,27.747225
27.73,71.16,74.46,90.51,0,0,27.727227
27.68,71.09,73.56,91.94,0,0,27.677232
27.63,71.05,72.88,93.07,0,0,27.627237
27.56,71.03,72.5,93.65,0,0,27.557244
27.5,71.02,72.63,93.99,0,0,27.49725
27.45,71.05,73.11,93.76,7.04,0,27.447255
27.39,71.1,73.84,92.93,40.25,0,27.387261
27.33,71.18,74.85,91.59,83.67,0,27.327267
27.31,71.27,76.23,89.68,191.83,0,27.307269
27.29,71.34,77.97,86.97,250.54,0,27.287271
27.31,71.4,79.58,84.4,430.13,0,27.307269
27.31,71.44,80.94,81.57,408.38,0,27.307269
27.31,71.47,82.48,78.56,418.27,0,27.307269
27.31,71.5,83.89,77,564.38,0,27.307269
27.33,71.5,83.76,77.18,356.21,0,27.327267
27.33,71.51,84.29,77.29,496,0,27.327267
27.32,71.51,85.21,75.95,638.23,0,27.317268
27.32,71.52,86.08,74.84,662.79,0,27.317268
27.31,71.49,86.18,75.94,387.04,0,27.307269
27.31,71.46,86.15,76.43,403.54,0,27.307269
27.32,71.43,85.21,79.01,172.53,0,27.317268
27.33,71.39,83.24,83.19,70.88,0,27.327267
27.3,71.36,81.1,86.37,4.63,0,27.29727
27.26,71.33,79.25,89.31,0,0,27.257274
27.17,71.32,77.98,91.43,0,0,27.167283
27.1,71.29,77.64,91.91,0,0,27.09729
27.05,71.31,77.7,90.83,0,0,27.047295
27.01,71.36,77.27,91.04,0,0,27.007299
26.98,71.45,76.82,91.76,0,0,26.977302
26.93,71.55,75.8,93.14,0,0,26.927307
26.91,71.65,75.29,94.01,0,0,26.907309
26.89,71.72,75.35,94.44,0,0,26.887311
26.88,71.79,74.52,94.37,0,0,26.877312
26.88,71.83,74.55,93.76,0,0.05,26.927312
26.88,71.86,78.03,72.96,0.17,0.01,26.887312
26.88,71.86,75.73,70.04,2.5,0.19,27.067312
26.87,71.89,73.61,84.78,30.83,0.02,26.887313
26.87,71.86,74.71,83.58,125.04,0,26.867313
26.88,71.83,79.35,76.7,447.38,0,26.877312
26.89,71.79,80.87,71.13,583.42,0,26.887311
26.88,71.72,82.9,71.58,584.8,0,26.877312
26.88,71.67,84.15,68.88,757.33,0,26.877312
26.87,71.64,84.54,70.56,843.33,0,26.867313
26.86,71.59,84.76,71.02,836.58,0,26.857314
26.87,71.53,85.61,71.69,815.73,0,26.867313
26.87,71.44,86.85,69.94,799.63,0,26.867313
26.87,71.38,87.6,67.62,714.5,0,26.867313
26.86,71.31,87.92,68.67,600,0,26.857314
26.83,71.29,87.95,70.59,454.7,0,26.827317
26.81,71.26,87.64,72.56,288.83,0,26.807319
26.78,71.21,86.21,76.2,132.88,0,26.777322
26.77,71.19,82.76,82.49,22.17,0,26.767323
26.73,71.19,79.43,87.61,0.2,0,26.727327
26.72,71.17,77.95,89.15,0,0,26.717328
26.71,71.18,76.59,90.8,0,0,26.707329
26.7,71.17,75.86,91.83,0,0,26.69733
26.69,71.19,75.2,92.24,0,0,26.687331
26.71,71.18,74.49,93.06,0,0,26.707329
26.71,71.15,74.95,93.73,0,0,26.707329
26.71,71.1,74.84,92.58,0,0,26.707329
26.71,71.05,73.53,92.71,0,0,26.707329
26.71,70.99,73.1,93.41,0,0,26.707329
26.71,70.91,72.68,93.54,0,0,26.707329
26.72,70.84,71.62,93.88,0.33,0,26.717328
26.71,70.76,70.78,94.49,18.93,0,26.707329
26.7,70.65,73.3,95.28,107.63,0,26.69733
26.71,70.59,76.16,91.74,191.71,0,26.707329
26.72,70.52,67.7,84.84,246.21,0,26.717328
26.7,70.47,69.16,80.04,559.43,0,26.69733
26.66,70.41,69.66,75.52,610.46,0,26.657334
26.63,70.35,71.51,71.43,679.13,0,26.627337
26.59,70.32,74.28,68.33,842.54,0,26.587341
26.54,70.34,78.15,62.78,871.23,0,26.537346
26.48,70.35,80.44,59.58,860.08,0,26.477352
26.43,70.41,81.5,57.14,831.38,0,26.427357
26.41,70.48,82.28,57.43,704.67,0,26.407359
26.39,70.54,81.42,61.39,592.17,0,26.387361
26.37,70.6,81.01,62.89,496.63,0,26.367363
26.36,70.65,80.32,64.26,356.08,0,26.357364
26.37,70.69,78.14,68.29,197.88,0,26.367363
26.38,70.75,74.44,73.76,45.9,0,26.377362
